"d05","d06","d07","d08","d09","d095","d099","d0995"
0.205654936240295,0.275924537237992,0.369128488921315,0.504948870679003,0.746582132789153,0.995631627661556,1.5758,1.8175472703619
0.121686005974393,0.164557023741012,0.222366229637806,0.308398495456771,0.466198784050323,0.63428304249759,1.0415,1.21565797821591
0.0873135453409149,0.118653928272285,0.161365151247216,0.225820505047704,0.346543467852319,0.478101147829155,0.806133333333333,0.9492672835169
0.0682959084609027,0.0931290770919588,0.127226821399158,0.179215258226664,0.278114414517659,0.387812449677676,0.667725,0.791888884250814
0.0561584205618356,0.0767706147559077,0.105235760715326,0.148984737204856,0.233243275658699,0.328058005114949,0.57472,0.685667303580971
0.0477155655944682,0.06535637354153,0.0898295423339445,0.127683208295201,0.201331677697387,0.285225377649948,0.50715,0.608182542498549
0.0414950462251157,0.0569255154225454,0.0784103964108467,0.111819370789114,0.177381189037873,0.252848178130026,0.455442857142857,0.548674456098979
0.0367182873800644,0.0504383286796856,0.0695972796403231,0.0995245905935438,0.1586909986814,0.227419293651616,0.4143625,0.501267997183143
0.0329338911708641,0.0452855729145335,0.0625844023021921,0.0897035936973666,0.143669301385139,0.20686610215843,0.380833333333333,0.462416407927949
0.0298582909423832,0.0410953793327182,0.0568663816620447,0.0816723828781798,0.131316742116152,0.189877948377372,0.35285,0.429920922961421
0.0284186922465655,0.0391241735532522,0.0541595367828542,0.0778336131778071,0.125307623992417,0.18146563703922,0.338509,0.413081882074244
0.0269790935507478,0.0371529677737863,0.0514526919036636,0.0739948434774343,0.119298505868682,0.173053325701068,0.324168,0.396242841187068
0.0255394948549301,0.0351817619943203,0.0487458470244731,0.0701560737770615,0.113289387744947,0.164641014362916,0.309827,0.379403800299891
0.0240998961591124,0.0332105562148543,0.0460390021452826,0.0663173040766888,0.107280269621212,0.156228703024764,0.295486,0.362564759412715
0.0226602974632947,0.0312393504353884,0.043332157266092,0.062478534376316,0.101271151497477,0.147816391686612,0.281145,0.345725718525539
0.021220698767477,0.0292681446559224,0.0406253123869015,0.0586397646759432,0.0952620333737424,0.13940408034846,0.266804,0.328886677638362
0.0197811000716593,0.0272969388764565,0.037918467507711,0.0548009949755705,0.0892529152500074,0.130991769010308,0.252463,0.312047636751186
0.0183415013758416,0.0253257330969905,0.0352116226285204,0.0509622252751977,0.0832437971262724,0.122579457672156,0.238122,0.295208595864009
0.0169019026800239,0.0233545273175245,0.0325047777493299,0.047123455574825,0.0772346790025375,0.114167146334004,0.223781,0.278369554976833
0.0154623039842062,0.0213833215380586,0.0297979328701394,0.0432846858744522,0.0712255608788025,0.105754834995853,0.20944,0.261530514089656
0.0149598574757211,0.0206913624813861,0.0288395401106292,0.0419073052681119,0.0690126516768443,0.102570748731492,0.203691666666667,0.254651307917753
0.014457410967236,0.0199994034247136,0.0278811473511191,0.0405299246617717,0.0667997424748862,0.0993866624671316,0.197943333333333,0.247772101745849
0.0139549644587509,0.019307444368041,0.0269227545916089,0.0391525440554314,0.064586833272928,0.0962025762027712,0.192195,0.240892895573946
0.0134525179502658,0.0186154853113685,0.0259643618320988,0.0377751634490912,0.0623739240709699,0.0930184899384107,0.186446666666667,0.234013689402042
0.0129500714417806,0.017923526254696,0.0250059690725886,0.036397782842751,0.0601610148690117,0.0898344036740503,0.180698333333333,0.227134483230139
0.0124476249332955,0.0172315671980235,0.0240475763130785,0.0350204022364107,0.0579481056670535,0.0866503174096898,0.17495,0.220255277058235
0.0119451784248104,0.016539608141351,0.0230891835535683,0.0336430216300705,0.0557351964650954,0.0834662311453294,0.169201666666667,0.213376070886332
0.0114427319163253,0.0158476490846785,0.0221307907940582,0.0322656410237302,0.0535222872631372,0.0802821448809689,0.163453333333333,0.206496864714428
0.0109402854078401,0.015155690028006,0.021172398034548,0.03088826041739,0.051309378061179,0.0770980586166085,0.157705,0.199617658542525
0.010437838899355,0.0144637309713335,0.0202140052750379,0.0295108798110497,0.0490964688592209,0.073913972352248,0.151956666666667,0.192738452370621
0.0101819840956957,0.0141103200904958,0.0197225764248319,0.0287997729264052,0.0479379157337905,0.0722192936999006,0.148779,0.188884131157503
0.00992612929203636,0.0137569092096582,0.0192311475746258,0.0280886660417606,0.0467793626083602,0.0705246150475531,0.145601333333333,0.185029809944386
0.00967027448837703,0.0134034983288205,0.0187397187244198,0.0273775591571161,0.0456208094829298,0.0688299363952056,0.142423666666667,0.181175488731268
0.00941441968471769,0.0130500874479829,0.0182482898742138,0.0266664522724715,0.0444622563574995,0.0671352577428582,0.139246,0.17732116751815
0.00915856488105836,0.0126966765671452,0.0177568610240078,0.0259553453878269,0.0433037032320691,0.0654405790905107,0.136068333333333,0.173466846305033
0.00890271007739903,0.0123432656863076,0.0172654321738017,0.0252442385031824,0.0421451501066387,0.0637459004381632,0.132890666666667,0.169612525091915
0.0086468552737397,0.0119898548054699,0.0167740033235957,0.0245331316185378,0.0409865969812084,0.0620512217858158,0.129713,0.165758203878797
0.00839100047008036,0.0116364439246323,0.0162825744733897,0.0238220247338933,0.039828043855778,0.0603565431334683,0.126535333333333,0.16190388266568
0.00813514566642103,0.0112830330437946,0.0157911456231837,0.0231109178492487,0.0386694907303477,0.0586618644811208,0.123357666666667,0.158049561452562
